State,Avg_Unemployment,Total_JobCards,Total_Workers,Active_Workers,Total_HH_Worked,Total_Persondays,Women_Persondays,Avg_Wage_Per_Day,Avg_Employment_Days,Total_Expenditure_Lakhs,Completed_Works,HH_Completed_100Days,Women_Participation_Pct,Scheme_Reach_Pct
Andhra Pradesh,7.477142857142857,7170051,12380375,10412371,4340988,198467910,119060226,247.92051767307692,44.5,680813.686349,205282,119939,59.99,84.1
Assam,6.428076923076923,7046513,12077132,7934595,1656334,50951223,25299277,244.42092578857145,29.8,136207.5114475,305135,2184,49.65,65.7
Bihar,18.91821428571429,17987345,22743075,10818160,3546734,118687259,64085920,240.59872221578945,33.18421052631579,428911.8895,365721,7166,54.0,47.57
Chhattisgarh,9.240357142857144,3967999,8603102,7412397,1962847,64724271,35294605,225.5593611878788,32.90909090909091,203476.214824,120205,23501,54.53,86.16
Goa,9.274166666666666,39407,50713,10091,1497,27861,20415,269.43678239999997,18.0,134.4906025,15,0,73.27,19.9
Gujarat,6.663928571428571,4484053,9270975,3803098,735842,27830906,13337887,223.75652368181818,36.78787878787879,109942.3722449,57409,6836,47.92,41.02
Haryana,26.283214285714283,1303379,2281305,1216597,258584,5211352,3219408,353.53231011818184,21.09090909090909,23111.620034,3287,209,61.78,53.33
Himachal Pradesh,18.540357142857143,1494930,2751680,1828473,392033,10397550,6698816,246.01113265,26.916666666666668,49222.2328959,37073,638,64.43,66.45
Jharkhand,20.585,6325674,9390515,5280500,1607995,57165912,27336790,260.1483796125,35.208333333333336,192487.233615,414172,14587,47.82,56.23
Karnataka,6.676071428571428,8012120,18006305,10627340,2331709,80284774,42387404,303.6456916129032,32.25806451612903,306634.9129747,407120,13811,52.8,59.02
Kerala,10.12392857142857,4174319,6180450,3340519,1246670,39115170,34724493,343.0858038,31.285714285714285,144084.970467,87677,2953,88.78,54.05
Madhya Pradesh,7.406428571428571,9088580,18152451,13293232,2810264,91655371,39445322,214.0923184980769,32.11538461538461,331964.691183,420359,13436,43.04,73.23
Maharashtra,7.5575,13216917,27966671,9399585,1519467,42728822,20248271,286.78289429999995,25.205882352941178,162867.2804536,131392,49534,47.39,33.61
Meghalaya,4.7988888888888885,664665,1234364,1129046,329225,8762730,4938229,257.3465547583333,26.083333333333332,51844.979539,6365,1252,56.35,91.47
Odisha,5.657857142857142,5781195,10140458,8357472,2365621,91714698,44925151,249.99570494,36.53333333333333,265367.083412,87339,77987,48.98,82.42
Puducherry,10.215000000000002,73926,110880,90891,47360,1283379,1116272,284.05983515,28.0,3743.529866,194,0,86.98,81.97
Punjab,12.031071428571428,1818437,2726830,1872687,680929,17143453,11816501,301.7372085130435,25.73913043478261,63459.7434064,28011,541,68.93,68.68
Rajasthan,14.058214285714286,11562058,23255282,18126978,4799497,175916463,118387733,209.61731977575755,33.878787878787875,399278.192239,136758,17926,67.3,77.95
Sikkim,7.249411764705882,88685,143666,123578,52496,1839316,1024157,253.81499771666665,35.166666666666664,6638.794677,1980,488,55.68,86.02
Tamil Nadu,9.284285714285714,9433367,13318413,11009244,6410901,240453337,206283054,254.31843244594592,37.78378378378378,727295.351451,308880,19730,85.79,82.66
Telangana,7.737857142857143,5590700,11128403,7536144,2143539,78785711,49318998,186.562336340625,35.6875,276482.0676987,73635,11605,62.6,67.72
Tripura,28.350357142857142,681986,1203301,1145657,539587,20071488,9943380,202.092606225,36.625,53919.896936000005,63786,7416,49.54,95.21
Uttar Pradesh,12.551428571428572,17810489,23571406,16630532,5235807,186499226,80193649,233.70280626000002,33.053333333333335,667834.82359926,342531,33818,43.0,70.55
Uttarakhand,6.582962962962963,1087230,1772485,1362630,292655,7785805,4349718,246.39829906923075,27.23076923076923,29829.399322,25842,1620,55.87,76.88
West Bengal,8.124642857142858,13718985,25769923,18430541,7592,164814,74171,326.5936450913043,11.217391304347826,6693.746507,15240,0,45.0,71.52
